epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.8437,1.24662,2.80163,1.61472,0.46101,0.5079,0.47518,0.28829,1.27093,1.86886,1.74906,0.000472882,0.000472882,0.000472882
2,60.2504,1.35923,1.85452,1.65494,0.72557,0.42029,0.45584,0.27557,1.41835,4.07234,2.09379,0.000939818,0.000939818,0.000939818
3,87.6,1.39652,1.82263,1.67147,0.59791,0.38,0.43461,0.2609,1.52228,2.68506,2.05045,0.00139732,0.00139732,0.00139732
4,114.33,1.42551,1.78044,1.70913,0.54627,0.45198,0.47451,0.26294,1.55234,2.01883,1.98335,0.00138656,0.00138656,0.00138656
5,141.292,1.33066,1.65298,1.61516,0.52665,0.57442,0.55532,0.34831,1.35446,1.74595,1.80387,0.00137241,0.00137241,0.00137241
6,167.981,1.29872,1.50155,1.58315,0.66209,0.57722,0.65651,0.43023,1.20765,1.52977,1.67379,0.00135826,0.00135826,0.00135826
7,194.488,1.2304,1.40791,1.54224,0.7117,0.6836,0.72252,0.47554,1.30061,1.43045,1.73662,0.00134412,0.00134412,0.00134412
8,221.487,1.22509,1.35936,1.53514,0.74859,0.72308,0.76031,0.51841,1.17266,1.24833,1.64632,0.00132997,0.00132997,0.00132997
9,248.786,1.18346,1.26008,1.49152,0.72522,0.71285,0.76189,0.51858,1.19608,1.26216,1.65822,0.00131582,0.00131582,0.00131582
10,275.697,1.16885,1.23577,1.48489,0.7711,0.69509,0.7933,0.54832,1.13444,1.13281,1.57817,0.00130168,0.00130168,0.00130168
11,302.323,1.15144,1.19963,1.47419,0.76177,0.76276,0.77869,0.54307,1.11872,1.0067,1.566,0.00128753,0.00128753,0.00128753
12,328.914,1.16827,1.17949,1.4682,0.74905,0.72449,0.79291,0.57621,1.04585,1.07711,1.49399,0.00127338,0.00127338,0.00127338
13,355.756,1.10968,1.09943,1.44192,0.86573,0.75962,0.83933,0.59132,1.05101,0.94446,1.48066,0.00125923,0.00125923,0.00125923
14,383.008,1.08394,1.06608,1.40877,0.86798,0.81504,0.86869,0.6293,1.04453,0.8507,1.48314,0.00124509,0.00124509,0.00124509
15,410.312,1.09531,1.04564,1.42638,0.83076,0.80259,0.84324,0.62095,1.02321,0.8568,1.45942,0.00123094,0.00123094,0.00123094
16,437.321,1.05131,0.97656,1.3867,0.83415,0.8046,0.85734,0.62736,1.01799,0.8355,1.47015,0.00121679,0.00121679,0.00121679
